text,label
Air Nanas Panas Bisa Membunuh Sel Kanker,1
INNALILLAH. ANIES BASWEDAN SEMPAT MENJENGUK BIMA ARYA. KELUARGA HANYA BISA HISTERIS,1
"5 Khutbah Jumat tentang Sumpah Pemuda, Bangkitkan Jiwa Persatuan",0
"11 SKPD Pemkot Makassar Rapor Merah Realisasi APBD, Pejabat Terancam Dicopot",0
Ma'ruf Amin: Aturan Landasi Papua sebagai Provinsi Olahraga Sedang Digodok,0
Jokowi Berpidato dengan Bahasa Mandarin Lebih Fasih daripada Bahasa Inggris,1
"ANIES POSITIF GAGAL NYAPRES, 120.000 KADER NASDEM INDRAMAYU, RAMAI-RAMAI TUNTUT INI",1
Pelintiran Konteks Foto Najwa & Tommy Soeharto,1
Perang di Ukraina Masuki Babak Baru Menjelang Musim Dingin,0
Anies Baswedan Setuju Berduet dengan Ganjar pada Pilpres 2024,1
Anies Baswedan Menandatangani Kontrak untuk Pimpin Jakarta dengan Syariat Islam,1
"Dukung Literasi Anak, Guru Dilatih Maksimalkan Buku Bacaan Bermutu",0
Foto SBY Dijemput Paksa Brimob Bersenjata Lengkap,1
Kebersamaan Pemimpin Depok dengan Robot Prabowo Jokowi (Wowi),1
Ditemukan sudah jadi es batu,1
Ahok Putra Terta*k Bangsa,1
Menerka Sikap PDIP soal Gibran Masih Kadernya Tapi Cawapres Prabowo,0
8 Perwakilan RI Menuju MIT untuk Bangun Ekosistem Inovasi Indonesia,0
Jokowi Ajak Negara-negara Teluk Arab Kembangkan Industri Halal,0
Demo di Hongkong karena menolak campur tangan fihak Negara China Komunis,1
Promosi komprehensif Tokopedia Dapatkan Data Intrnet 100GB tanpa Isi Ulang,1
Biden Menyatakan Bahwa Cina Merupakan Negara Unggul dan Tidak Tertandingi,1
"Tanda-tanda Usia Biologis Lebih Tua Ketimbang Kronologis, Wajah 'Boros' Juga Termasuk",0
Korban Radiasi HP,1
DIBAYAR KONTAN!!! ADZAB PENJUAL AGAMA DEMI HARTA. YUSUF MANSUR SUDAH TERBARING???,1
"Jogetin Rumor Stroke, Gerindra Jatim Tegaskan Prabowo Sehat dan Siap Tempur",0
"Praktis, Twinkl Sediakan Bahan Ajar Kurikulum Merdeka untuk Para Guru",0
PEMERINTAHAN JOKOWI TERPAPAR NEO KOMUNISME,1
Mengenal Jong Java dan Perannya dalam Sumpah Pemuda,0
"2,9 Juta Produk Sudah Bersertifikat Halal, Lampaui Target BPJPH di 2023",0
Misi 21/2030 adalah Agenda New World Order PBB,1
Jokowi Bertolak Kembali ke Tanah Air dari Riyadh,0
10 Contoh Sambutan Singkat dan Pidato Hari Santri Nasional 2023,0
"Johnny Plate Meluapkan Kesedihan di Pleidoi, Merasa Jadi Korban Politik",0
Nusron Bicara Anak Sukarno-Soeharto Tak Jadi Cawapres: Tak Punya Prestasi,0
Massa Mahasiswa di Jogja Coret Poster Jokowi-Gibran-Anwar Usman,0
"Dicalonkan Jadi Ketum PESTI, Awal Chairuddin Ingin Majukan Soft Tennis RI",0
Pekan Kebudayaan Nasional Hadir di 40 Titik Jabodetabek,0
3 Masjid di Jerman Terima Paket Ancaman Islamofobia,0
Bill Gates akan meluncurkan kapsul implan manusia untuk melawan Virus Corona,1
Foto Ahok Berseragam Pertamina,1
Lengkap! Pidato Perdana Gibran Rakabuming Sebagai Cawapres Prabowo,0
"waktu mandi jangan basahkan kepala dulu, basahkan bagian badan",1
KPU Sumbar Coret Nama Irman Gusman dari Daftar Calon DPD RI,0
Foto anak korban vaksinasi covid,1
Universitas Indonesia tidak terkait dengan kelompok Ikatan Keluarga Besar Universitas Indonesia,1
Tulisan ANIES TERLALU MURAH BUAT INDONESIA Oleh: Rhenald Kasali,1
"Bahaya Asap Rokok pada Tumbuh Kembang Anak, Bisa Pengaruhi Psikologis",0
ATAS PERINTAH LUHUT AMIEN RAIS AKHIRNYA DIJEMPUT PAKSA,1
Rockefeller Foundation Telah Rencanakan Skenario Pandemi Covid-19 Sejak 2010,1
"15 Ras Anjing Terbesar di Dunia, Tingginya Lebih dari 1 Meter",0
Foto Muslim New Delhi Yang Dibantai Akibat UU Kewarganegaraan India,1
Pj Gubernur Sulsel Akan Ajak Kemenpora Bahas Anggaran Khusus Mattoanging,0
"Prisma, Sihir Tak Tergantikan Disney dan Petro Vlahos yang Ubah Sinema",0
Sederet Tips dari Dosen UGM-UMY buat Anak Muda Jelang Pemilu 2024,0
"TPD Ganjar-Mahfud di Tana Toraja Terbentuk, Komitmen Dulang 70% Suara",0
"Jokowi Bertemu 3 Capres, Cak Imin: Kesimpulannya Presiden-Aparatur Netral",0
DANA 12 MILIAR UNTUK SYARAT AHY MENJADI CAWAPRES ANIES,1
Kejanggalan Tabiat dan Misteri Kematian Wanita di Lembah Cisolok,0
Pesan Giveaway dari Kedas Beauty,1
"Viral Lulusan ITB Menggelandang di Jalanan Demak, Disebut Depresi gegara Cinta",0
"Asian Para Games 2023: Emas Indonesia Bertambah, Kini Persembahan Judo",0
Messi Berikan Jersey untuk Presiden Jokowi Sebagai Permohonan Maaf Tidak Jadi ke Indonesia.,1
"Foto Miliarder Tiongkok, He Shihua memaksa pelatih untuk memainkannya di lapangan",1
Saleh Daulay Sebut Isu Presiden 3 Periode Tak Sehat-Diskreditkan Jokowi,0
Ketua KPUD Bekasi Meninggal Dunia,1
Asian Games 2023 Resmi Ditutup,0
Tukul Arwana Meninggal Dunia,1
Reaksi Gibran Saat Status di PDIP De Facto Dinyatakan Berakhir,0
Pesan Berantai Sinyal Internet Dihentikan pada Pukul 18.00-20.00 dan Semua Aktifitas HP dipantau,1
"Spanduk Petruk Marak di Solo-Semarang, Begini Analisis Pakar UGM",0
"Biar Damai, Kominfo Kaji Penggunaan Teknologi AI Untuk Pemilu 2024",0
Hobi Ngoprek yang Menjadi Cuan,0
"Terseret Korupsi Dana Formula E, Anies Baswedan Terancam Penjara Seumur Hidup",1
Walkot Semarang Ajak Pemuda Pancasila Jaga Kondusivitas Jelang Pemilu,0
"PKN 2023 Resmi Ditutup, Soroti Kebijakan Kawasan Pemajuan Kebudayaan",0
Menpora Dito Jadi Saksi Kasus Korupsi BTS Kominfo,0
"Lantik 13 Pejabat Pengawas, Dirjen Perumahan Beri Pesan Begini",0
jurnalis muda dari Amerika bernama Fira Aziz ungkap keuntungan TikTok disalurkan untuk membuat camp konsentrasi warga Uighur,1
Polisi mulai intimidasi warga *InfoAkurat,1
Panda Nababan Sentil Gibran yang Mudah Berkhianat dan Berbohong,0
"Jembatan Kaca di Kampung Warna-Warni Malang Retak, Sudah Sebulan",0
Foto Penyanyi Korea Won young IVE Sangat Kurus,1
Ganjar Cerita Momen Peluk Menteri PUPR Basuki: Beliau Meneteskan Air Mata,0
"Belajar Tatap Muka RESMI Januari 2021, Anak Wajib Swab Test Sebelum Sekolah",1
MAHASISWA bisa minta BANTUAN ke KODAM jika ingin di dampingi saat gelar UNJUK RASA,1
KPK GELEDAH KANTOR WALIKOTA SOLO,1
"Studi soal Anak Muda RI: Pendidikan Formal Penting, tapi...",0
Loris Capirossi Masih Suka Ngebut: Dibanding Pecco Cuma Beda 3 Detik,0
"Ada Pilpres 2024, Bakal Pengaruh ke Industri Otomotif Indonesia?",0
5 Fakta Jembatan Kaca Malang Retak Bikin Ketar-ketir Seperti di Banyumas,0
Jokowi Buka Suara soal Pencopotan Baliho Ganjar-Mahfud Saat Kunker ke Bali,0
"Realisasi APBD Rendah, DPRD Makassar Singgung SKPD Takut Belanjakan Anggaran",0
Doa Hari Sumpah Pemuda untuk Upacara Bendera 28 Oktober 2023,0
"Tak Hanya di Solo, Spanduk Petruk 'Ojo Ilang Jowone' Juga Marak di Semarang",0
Anies Percaya Jokowi Akan Netral di Pilpres 2024,0
LMND Deklarasi tentang Manifesto Pendidikan Nasional di RI,0
"Ungkit Asta Cita, Relawan Tegaskan Prabowo-Gibran Komitmen di Isu Energi",0
"Mantan Wakil Presiden Filipina Berpakaian Transparan Saat Kunjungan ke Arab Saudi, Negara Mayoritas Muslim",1
Foto Seorang Anak Ukraina Melempar Batu ke Tank Tentara Rusia,1
"Klarifikasi BMKG Terkait Prediksi Gempa Bermagnitudo 8,2 dan Tsunami di Beberapa Daerah Jateng",0
Kemenperin Sebut Saatnya Produk Elektronik RI Bertarung di Pasar Dunia,0
"Video BERITA TERKINI~GARA-GARA INI !! ANIES BERANI ANC4M JKW~VIRAL NEWS JOKOWI, KPK, ANIES",1
"bugil,lagi setelah di pecat",1
Gibran Setel Video Porno Saat Presentasi,1
Ini Seragam Baru Kontingen Indonesia di Asian Para Games 2023,0
": Pilpres 2024 Dibatalkan Rakyat, Jokowi Kembali Diangkat Jadi Presiden",1
Raffi Ahmad dan Baim Wong sudah membuka bisnis baru game slot online,1
Video Gedung Cyber 1 Mabes Polri di Mampang Jaksel Kebakaran,1
"Tiga Partai Bersatu: PAN, Golkar, dan PKS Sepakat Jadikan Anies Baswedan Calon Tunggal",1
"Kontingen Indonesia Terbang ke Hangzhou, Kejar Emas Asian Para Games",0
Saling Bersyukur Cak Imin dan Kubu Prabowo Usai Tak Jadi Berkoalisi,0
Gerindra Sulsel Target Menangkan Prabowo-Gibran di Atas 50 Persen Suara,0
"Duh! Ronaldo Langgar Pasal Zina di Iran, Terancam Hukuman Cambuk 99 Kali",0
"Tepis Isu Keretakan, Masinton: Bu Mega Selalu Sayang Pak Jokowi",0
"SEHARI SETELAH DILAKUKAN RAPID TEST COVID-19 KEPADA PARA SANTRI DI KUDUS, 1.000 SANTRI TAK SADARKAN DIRI",1
"Rahasia Wajah Glowing Natasha Wilona, Sandwich Skincare, Apa Itu?",0
Pedoman Susunan Upacara Hari Sumpah Pemuda 28 Oktober 2023 Sesuai Kemenpora RI,0
BUS BARU TIMNAS U-17 SETINGGI 9 METER,1
Ganjar Izin Cuti Sebagai Ketum Persada Jelang Pilpres 2024: Biar Etis Lah,0
Dasco Minta Gerindra Tangerang Menangkan Prabowo-Gibran: Yang Muda Berkarya,0
Akun Facebook Irjen Polisi Supratman,1
Pesan Pj Gubernur DKI buat Warga: Pakai Masker Kalau Kondisi Lagi Begini,0
"Kebutuhan Sekunder: Pengertian, Contoh dan Faktor yang Memengaruhinya",0
Ustaz Abdul Somad Mengacungkan Jari 1 Mendukung Jokowi,1
Nata De Coco Terbuat Dari Plastik dan Berbahaya Untuk Anak-Anak,1
Kapolri Mutasi Sejumlah Jendral dan Irjen Argo Didapuk sebagai Kapolda Kaltim,1
"Waspada! Bukan Hanya Penyakit Orang Tua, Jantung Kini Mengintai Anak Muda",0
"Klarifikasi Putra Aji Adhari, Anak Kelas ll MTS yang Bobol Situs KPU Pemilu 2019",0
REDAKSI LIPUTAN 6 SCTV: Tidak Pernah Revisi Quick Count,0
"Sambut Pemilu 2024, Bisnis Percetakan di Sleman Mulai Banjir Orderan",0
Visi Misi Pasangan Ganjar Pranowo-Mahfud Md: Menuju Indonesia Unggul,0
Sapi Blasteran Babi,1
Jokowi: PBB Sebut Saat Ini Bukan Lagi Global Warming tapi Global Boiling,0
Video raja Bahrain dikawal robot,1
Foto Jokowi dan Ma ruf Amin Menjenguk Ade Armando,1
Tim Sepakbola Kalsel Lolos ke PON 2024,0
Gadget dan Wifi Sebabkan Kanker Darah,1
Jadwal Vaksinasi Massal di Royal Plaza Surabaya Tanggal 2-6 Agustus 2021,1
"Cepet Kayak Ngisi Bensin, Fuso Pamer Stasiun Penukaran Baterai buat Truk Listrik",0
"13 Link Nonton Film Gratis yang Aman, Drakor hingga Box Office",0
"Covid-19 BUKAN Virus, Sumber : Kementerian Kesehatan Italy",1
Ternyata Wanita 9 Kali Lebih Berisiko Kena Stroke Jika Ada Faktor Risiko Ini,0
Robot berukuran sel ditemukan dalam vaksin covid baru,1
Lolongan Histeris Siksa KUBUR Alexander,1
"Gibran Bertemu Produsen Carica Wonosobo, Bahas Kredit Startup-Digitalisasi",0
Cawabup OKU Timur Menawarkan Kredit Mobil Melalui Whatsapp,1
Video Bendera Khilafah Dikibarkan Saat Pembukaan Piala Dunia di Qatar,1
"Dilantik Jadi Pj Walkot Parepare Besok, Akbar Ali Siap Jaga Netralitas ASN",0
Password Wifi di Jakarta #ANIESKEREN,1
"Ini Daftar Hari Penting Nasional Bulan November 2023, Ada Tanggal Merah?",0
Penemu Mobil Berbahan Bakar Air Dibunuh,1
Video Petinju Babak Belur Melawan Petinju Tidak Terlihat,1
"Bisa Dicontoh, Ini Tips Irit Tukar Uang Asing ala Ayudia Bing Slamet",0
MU Bikin Investigasi Internal Usai Banyak Pemain Cedera,0
Israel Ngeri Masuk Terowongan Hamas: Seperti Lawan Hantu,0
"JUTAAN WARGA JADI SAKSI, PRAB0W0 JANJIKAN 2 HAL BESAR INI JIKA TERPILIH",1
Kartu yang Dijanjikan Wapres Ma ruf Saat Debat Cawapres Belum Terealisasi,1
"Ada Kuliah Standar King's College London di Malang, Buka September 2024",0
Piala KASAD XIV/2023 Diharap Munculkan Pejudo Andal,0
Butiran Es Hasil Fenomena Hujan Es Dapat Meningkatkan Imunitas Tubuh,1
"20 Contoh Pantun Hari Santri Nasional Lucu, Kocak, dan Menghibur",0
Pembajakan Akun Aplikasi Telegram Melalui Pemulihan Kata Kunci,1
Surat Perintah BNPB Terkait Normalisasi Sungai di Sulawesi Tenggara,1
"Daftar Kartu Prakerja, PT Shell Indonesia Beri Bantuan Senilai Rp600.000",1
Giliran Thariq Halilintar Posting Foto dengan Aaliyah Massaid,0
Layanan dan Kegiatan Kerjasama Like And Share dan RCTI,1
Lompatan Sistem Kesehatan Masa Depan,0
Di Balik Megahnya Palm Jumeirah dan Pulau Buatan Lain di Dubai,0
Minum Air Es Setelah Makan Dapat Sebabkan Kanker,1
"Foto Bunga yang Tumbuh di Benua Antartika, Diklaim Sebagai Efek Buruk Pemanasan Global",1
Begini Rencana Pemkab Sumedang Manfaatkan Bekas Bangunan LAPAN,0
"Singgung Penyalahgunaan Kekuasaan, Pengamat: Pemilu Sudah Ternodai",0
Akun Twitter @LawanPolitikJKW adalah Milik Ferdinand Hutahean,1
Ahmad Dhani Sesumbar Sebut Suara Prabowo 90 Persen di NTB,0
Geliat Kota Pelajar Jadi Pemicu Menjamurnya Bioskop di Jogja,0
Barcelona Siapkan Laga Perpisahan buat Messi?,0
NasDem Dengar Kabar Jokowi Undang 3 Capres Makan Siang di Istana Hari Ini,0
Prabowo Gunakan Kacamata Google Glass untuk Contek Jawaban di Debat Pilpres Kedua,1
10 Kampus Terbaik Jurusan Bisnis & Manajemen Dunia-Indonesia Versi The Wur 2024,0
Penjualan Kalender Police News 2022 oleh Polda Jateng Seharga Rp100 Ribu,1
Tim Karate Universitas Ini Gemilang di OKC Piala Kemenpora 2023,0
Boccia Indonesia Genjot Latihan Demi Medali Asian Para Games,0
"Pelaut RI di Singapura Ngeluh soal Diklat Syarat Lisensi, Menhub Kasih Solusi Ini",0
"Imbas Israel Vs Hamas, Napoli Ogah Main di Supercoppa Italia",0
Satu gambar bernilai seribu kata oleh Syamsia Hassani,1
Ballon d'Or 2023: Vinicius Raih Socrates Award 2023,0
Pengertian Webinar dan Platform Gratis untuk Seminar Online,0
Lowongan Kerja KPP Pratama Sumba,1
Foto Rapper Ice Cube dan 50 Cent Memakai Topi Trump 2020,1
Foto Timnas Indonesia U-22 Promosi Jam Tangan Pintar Jepang,1
KPK Periksa Ganjar Akui Dana 300 T Untuk Bayar Buzzer Untuk Serang Anies,1
Daftar 8 Produk dan Perusahaan Israel yang Diboikot Dunia,0
RUU HIP Disahkan Tengah Malam,1
Terdakwa Korupsi Stadion Sultan Agung Bantul Divonis 1 Tahun 4 Bulan Bui,0
Manajemen Sebut Okupansi Hotel Sultan Anjlok Jadi 20% Gegara Akses Ditutup,0
Daftar GPU Nvidia yang Dilarang Diekspor ke China,0
Unik! 7 Pria Ini Gunduli Kepala Demi Janji Setia Dukung Jokowi,0
"Video yang harus ditonton, situasi sebenarnya terkait cedera Andre Gomes",1
Geger Anggota Parlemen Inggris Ditangkap Atas Dugaan Pemerkosaan,0
"Jelang Pildun U-17, Heru Budi Tinjau Pemasangan Rumput-Akses Tambahan JIS",0
Ancaman Anies ke Kapolda Tidak Boleh Ditulis Media,1
PAN RESMI GABUNG KOALISI KPP DUKUNG ANIES SEBAGAI CAPRES 2024,1
"Wajib Tahu Sebelum Berobat, 21 Penyakit Ini Tak Ditanggung BPJS",0
DICURANGI FIFA !! PRESIDEN JOKOWI TINGGALKAN FIFA DAN PINDAH KE CONIFA,1
: Informasi Peringkat Sayuran Anti Kanker Oleh Institut Pencegahan Kanker,1
Foto pandemi flu 1918,1
"SERANGAN GILA INDONESIA TEWASKAN RATUSAN TENTARA AUSTRALIA,,MAYAT BERSERAKAN DI PULAU",1
Christiano Ronaldo Menolak Bersalaman dengan Presiden Israel karena Mendukung Umat Islam,1
Aliansi Dokter Dunia Mengatakan Bahwa Varian Delta Tidak Ada,1
Video Pesawat Kiamat Milik Rusia dan China di Kepulauan Pasir,1
"Cak Imin Sebut Pemimpin Harus Pernah Menderita, Ceritakan Penderitaan Anies",0
"Gunung Slamet Waspada, Kawasan Wisata Baturraden Tetap Buka",0
"Video 22 Maret 2022, Akhirnya Juragan 99 Pemilik MS Glow Diciduk Bareskrim, Tangis Sang Istri Pecah",1
"Pendaftaran Capres-Cawapres 2024 Ditutup, KPU Lanjut Verifikasi Data",0
Waspada! Sakit Punggung Bisa Jadi Indikasi 5 Penyakit Serius,0
Link Peduli Lindungi (pedulilindungia.com),1
Video Militer Pakistan Menang Lawan Militer Amerika dalam Lomba,1
"Bukannya memotong gajinya untuk mereka para tim medis, malah memotong tunjangan para tim medis.",1
Ngabalin Sebut Bakal Ada Pertemuan Jokowi dan 3 Capres,0
udeh kronis amat ame 2JARI,1
"JANGAN MENGKONSUMSI BAWANG YANG TELAH DIKUPAS, KARENA MENYERAP KUMAN DAN VIRUS DI UDARA",1
"Bambang Triatmojo Anak Pak Soehato Buka Bicara, Cendana Membongkar Status Jokowi Adalah Anak Dari Gembong PKI",1
"Beasiswa Indonesia Maju Program Persiapan Sarjana Luar Negeri Dibuka, Ini Syaratnya",0
2 Startup Gibran yang Disuntik Dana Investor Miliaran Rupiah,0
Jokowi: Revolusi mental akan gagal kalau agama tidak dipisahkan dari politik,1
Meminum Air Berlebihan Berbahaya Bagi Tubuh Karena Ginjal Tidak Dapat Memproses Air dalam Jumlah yang Banyak,1
AHOK RESMI DILANTIK SEBAGAI KETUA KPK BARU,1
Masinton PDIP Usul Hak Angket MK di Paripurna DPR,0
JOKOWI DAN MEGAWATI RESTUI DUET GANJAR-PRABOWO,1
Keluarkan nasi dari rice cooker jika sudah matang. Kalau lebih dari 12 jam menjadi pemicu diabetes,1
"Media Cup 2023 Selesai, Detikcom Runner-up Lagi",0
Habib Rizieq Shihab bersumpah tidak akan masuk ke Indonesia seumur hidup,1
24 Agustus 2021 ada OTT oleh KPK di Padang,1
Sekjen PKS Minta Maaf Acara Senam Pagi AMIN di Depok Bikin Macet,0
Video KABAR TERBARU ~ TIT0 S4HKAN FP1 BARU | PER!NTAHKAN FP1 TEG4KKAN AM4R MA RUF N4HI MUN9K4R | Viral,1
Imbauan Kapolresta Solo Tentang Karantina Bagi Pendatang Mulai Tanggal 15 Desember 2020,1
Ganjar-Mahfud Akan Panjatkan Doa Kebangsaan Bareng Santri & Kiai di Gresik,0
"Viral Pimpin Rapat Pemenangan Gibran, Wamendes: Kapasitas Saya Relawan",0
"Saya 10 Tahun Karyawan Outsourcing Bank BUMN, Apakah Dapat Pesangon?",0
Bos PSIS Yoyok Sukawi Nyatakan Bakal Maju Pemilihan Wali Kota Semarang,0
Perdana Menteri Jepang Mundur Karena Terkait Virus Corona,1
"Pogba Selesaikan Dulu Kasus Dopingnya, Baru Bicara Comeback",0
"Pemilu, Demografi, dan Marwah Kepentingan Rakyat",0
Dokter Bicara Kemungkinan Wanita Depok Kena Usus Buntu usai Diet Ekstrem,0
Azan Pitu hingga Raksa Wajit Cililin Jadi Warisan Budaya Tak Benda,0
Video Prabowo Subianto nabok tangan pendukungnya sendiri,1
Ada Capres Menampar Wakil Menteri,1
Belum Ada Rencana Ujian Nasional 2019 Diselenggarakan sebanyak Tiga Kali,0
Rakyat Harus Tahu! Misi Jahat Amerika Hancurkan NKRI Lewat Tangan Anies,1
Sederet Anggota Kabinet Jokowi yang Dampingi Prabowo-Gibran ke KPU,0
Kampus Pemujaan Setan di Bandung,1
"10+ Fakta Hari Sumpah Pemuda 28 Oktober, Apa saja?",0
"25 Link Twibbon Hari Sumpah Pemuda 2023, Gratis!",0
Poster Ungkapan Duka Cita Oleh PMI DKI Jakarta Atas Meninggalnya Megawati,1
PDIP USUL KE PEMERINTAH AGAR PESANTREN DI TUTUP SELURUH INDONESIA,1
Grab Berikan Bantuan Sembako Senilai Rp80 Ribu untuk Warga Surabaya,1
"Hasto PDIP Lempar Isu Lagi, Kini soal Kartu Truf Ketum Dipegang",0
Adian yang Enggan Pusing Mikirin Gibran,0
"Dinner Bareng Bos Isuzu, Ngomongin Panther hingga Sekolah Sopir",0
"Bocoran Truk Fuso Kelas Berat Tampang Baru, Bos Tenang-Sopir Makin Aman Nyetir?",0
"Link Download Spanduk, Banner dan Umbul-umbul Hari Sumpah Pemuda 2023",0
Tanda Kemenangan dari Alam untuk Paslon No. 2 Pilkada Jember 2020,1
Video Penggerebekan Pasangan Mesum Gancet,1
KPK Bantah Terima Tiket Gratis Asian Games dari Erick Tohir,0
Ribuan Relawan Network For Ganjar Menggoyang Subang,0
"Ini Sosok Alex Tirta, Bos Alexis yang Diduga Bayar Sewa Rumah buat Firli Bahuri",0
